Country,Continent,hdicode,region,HDI,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank
Fiji,Australia,High,,0.729,68.3,13.8,10.4,"11,234",0
Finland,Europe,Very High,EAP,0.942,82.4,19.2,12.9,"49,522",11
France,Europe,Very High,SSA,0.91,83.2,16,11.7,"47,379",-1
Gabon,Africa,High,,0.693,65.7,12.4,9.6,"11,194",-18
Gambia,Africa,Low,ECA,0.495,62.9,9,4.5,"2,090",-1
Georgia,Asia,Very High,SSA,0.814,71.6,16.7,12.7,"15,952",19
Germany,Europe,Very High,SSA,0.95,81,17.3,14.3,"55,340",11
Ghana,Africa,Medium,SSA,0.602,63.9,11.6,6.4,"5,380",-10
Greece,Europe,Very High,SSA,0.893,80.6,20,11.4,"31,382",20
Grenada,North America,High,SSA,0.793,75.3,16.6,9.9,"13,593",18
Guatemala,North America,Medium,,0.629,68.7,10.8,5.7,"8,996",-17
Guinea,Africa,Low,LAC,0.471,59,10.2,2.4,"2,404",-14
Guinea-Bissau,Africa,Low,LAC,0.483,59.9,10.5,3.7,"1,880",-1
Guyana,South America,High,LAC,0.742,66,13,8.6,"35,783",-54
Haiti,North America,Low,,0.552,63.7,11.1,5.6,"2,802",6
Honduras,North America,Medium,LAC,0.624,70.7,10,7.3,"5,272",2
"Hong Kong, China (SAR)",Asia,Very High,,0.956,84.3,17.8,12.3,"62,486",6
Hungary,Europe,Very High,LAC,0.851,75,15.1,12.2,"34,196",-2
Iceland,Europe,Very High,,0.959,82.8,19.1,13.8,"54,688",16
India,Asia,Medium,EAP,0.644,67.7,12.6,6.6,"6,951",-6
Indonesia,Asia,High,SA,0.713,68.3,14,8.6,"12,046",-12
Iran,Asia,High,,0.78,74.6,14.1,10.7,"14,770",10
Iraq,Asia,Medium,SA,0.673,71.3,12.2,6.8,"9,092",-11
Ireland,Europe,Very High,AS,0.95,82.7,19.1,11.7,"87,468",-3
Israel,Asia,Very High,,0.915,82.6,15,13.4,"43,588",9
Italy,Europe,Very High,,0.906,84.1,16.7,10.7,"44,284",1
Jamaica,North America,High,,0.706,70.6,12.5,9.2,"9,695",-2
Japan,Asia,Very High,LAC,0.92,84.8,15.5,12.7,"43,644",9
Jordan,Asia,High,AS,0.736,74.2,12.6,10.4,"9,295",15
